单词,词性,释义,备注
handsome,adj.,英俊的；帅气的,高频词
beautiful,adj.,美丽的；美好的,高频词
charming,adj.,迷人的；有魅力的,高频词
elegant,adj.,优雅的；高雅的,
talented,adj.,有才华的；有天赋的,
professional,adj./n.,专业的；职业的,多词性
dedicated,adj.,专注的；献身的,
sincere,adj.,真诚的；诚挚的,
humble,adj.,谦逊的；谦虚的,
kind,adj.,善良的；友好的,高频词
brave,adj.,勇敢的；无畏的,
confident,adj.,自信的；有信心的,
brilliant,adj.,杰出的；才华横溢的,
creative,adj.,有创造力的；创新的,
versatile,adj.,多才多艺的,
graceful,adj.,优美的；优雅的,
outstanding,adj.,杰出的；优秀的,
excellent,adj.,优秀的；卓越的,
remarkable,adj.,非凡的；卓越的,
amazing,adj.,令人惊叹的,高频词
wonderful,adj.,精彩的；极好的,高频词
perfect,adj.,完美的；理想的,高频词
popular,adj.,受欢迎的；流行的,高频词
famous,adj.,著名的；出名的,
unique,adj.,独特的；唯一的,
special,adj.,特别的；特殊的,高频词
favorite,adj./n.,最喜欢的；特别喜爱的人或物,多词性
strong,adj.,强壮的；强大的,高频词
healthy,adj.,健康的,
energetic,adj.,精力充沛的,
athletic,adj.,运动的；健壮的,
perform,v.,表演；演出,高频词
act,v./n.,表演；行为,多词性
sing,v.,唱歌；歌唱,高频词
dance,v./n.,跳舞；舞蹈,多词性
inspire,v.,激励；鼓舞,
encourage,v.,鼓励；激励,
support,v./n.,支持；拥护；支撑物,多词性
love,v./n.,爱；喜爱；爱情,多词性
smile,v./n.,微笑；笑容,多词性
laugh,v./n.,笑；大笑；笑声,多词性
shine,v./n.,发光；照耀；光泽,多词性
dream,v./n.,梦想；做梦；梦,多词性
achieve,v.,实现；达到,
succeed,v.,成功；继承,
improve,v.,改善；提高,
practice,v./n.,练习；实践；业务,多词性
learn,v.,学习；学会,高频词
grow,v.,成长；生长,
develop,v.,发展；开发,
